Collected Items:
Player 1 Type: Power-ups, Score: 22
Player 2 Type: Game, Score: 397
Player 3 Type: Power-ups, Score: 21
Player 4 Type: Game, Score: 399
Player 5 Type: Power-ups, Score: 20
Player 6 Type: Game, Score: 395
Player 7 Type: Power-ups, Score: 19
Player 8 Type: Game, Score: 395
Player 9 Type: Power-ups, Score: 18
Player 10 Type: Game, Score: 196
Player 11 Type: Power-ups, Score: 18
Player 12 Type: Game, Score: 195
Player 13 Type: Power-ups, Score: 18
Player 14 Type: Game, Score: 195
Player 15 Type: Power-ups, Score: 18
Player 16 Type: Game, Score: 196
Player 17 Type: Power-ups, Score: 18
Player 18 Type: Game, Score: 195
Player 19 Type: Power-ups, Score: 18
Player 20 Type: Game, Score: 194
Player 21 Type: Power-ups, Score: 18
Player 22 Type: Game, Score: 194
Player 23 Type: Power-ups, Score: 18
Player 24 Type: Game, Score: 401
Player 25 Type: Power-ups, Score: 17
Player 26 Type: Game, Score: 200
Player 27 Type: Power-ups, Score: 17
Player 28 Type: Game, Score: 199
Player 29 Type: Power-ups, Score: 17
Player 30 Type: Game, Score: 403
Player 31 Type: Power-ups, Score: 16
Player 32 Type: Game, Score: 201
Player 33 Type: Power-ups, Score: 16
Player 34 Type: Game, Score: 199
Player 35 Type: Power-ups, Score: 16
Player 36 Type: Game, Score: 397
Player 37 Type: Power-ups, Score: 15
Player 38 Type: Game, Score: 199
Player 39 Type: Power-ups, Score: 15
Player 40 Type: Game, Score: 397
Player 41 Type: Power-ups, Score: 14
Player 42 Type: Game, Score: 201
Player 43 Type: Power-ups, Score: 14
Player 44 Type: Game, Score: 409
Player 45 Type: Power-ups, Score: 13
Player 46 Type: Game, Score: 204
Player 47 Type: Power-ups, Score: 13
Player 48 Type: Game, Score: 203
Player 49 Type: Power-ups, Score: 13
Player 50 Type: Game, Score: 209
Player 51 Type: Power-ups, Score: 13
Player 52 Type: Game, Score: 208
Player 53 Type: Power-ups, Score: 13
Player 54 Type: Game, Score: 207
Player 55 Type: Power-ups, Score: 13
Player 56 Type: Game, Score: 206
Player 57 Type: Power-ups, Score: 13
Player 58 Type: Game, Score: 205
Player 59 Type: Power-ups, Score: 13
Player 60 Type: Game, Score: 415
Player 61 Type: Power-ups, Score: 12
Player 62 Type: Game, Score: 207
Player 63 Type: Power-ups, Score: 12
Player 64 Type: Game, Score: 205
Player 65 Type: Power-ups, Score: 12
Player 66 Type: Game, Score: 203
Player 67 Type: Power-ups, Score: 12
Player 68 Type: Game, Score: 405
Player 69 Type: Power-ups, Score: 11
Player 70 Type: Game, Score: 204
Player 71 Type: Power-ups, Score: 11
Player 72 Type: Game, Score: 407
Player 73 Type: Power-ups, Score: 10
Player 74 Type: Game, Score: 203
Player 75 Type: Power-ups, Score: 10
Player 76 Type: Game, Score: 202
Player 77 Type: Power-ups, Score: 10
Player 78 Type: Game, Score: 201
Player 79 Type: Power-ups, Score: 10
Player 80 Type: Game, Score: 199
Player 81 Type: Power-ups, Score: 10
Player 82 Type: Game, Score: 407
Player 83 Type: Power-ups, Score: 9
Player 84 Type: Game, Score: 202
Player 85 Type: Power-ups, Score: 9
Player 86 Type: Game, Score: 200
Player 87 Type: Power-ups, Score: 9
Player 88 Type: Game, Score: 198
Player 89 Type: Power-ups, Score: 9
Player 90 Type: Game, Score: 196
Player 91 Type: Power-ups, Score: 9
Player 92 Type: Game, Score: 195
Player 93 Type: Power-ups, Score: 9
